setting_key,setting_label,category,model_id,model_revision,dimension,max_length,collection_name,retrieval_mode,use_bm25,use_reranker,status,error,case_count,hit_case_count,recall_at_5,mrr_at_5,ndcg_at_5,successful_repetitions,ranking_stable,truncated_document_count,cold_load_ms,document_embedding_ms,query_embedding_p50_ms,query_embedding_p95_ms,retrieval_p50_ms,retrieval_p95_ms,warm_total_p50_ms,warm_total_p95_ms,rss_before_load_mb,rss_after_load_mb,observed_peak_rss_mb,device,dtype,document_batch_size,query_batch_size,delta_recall_at_5,delta_mrr_at_5,delta_ndcg_at_5,recall_ci_lower,recall_ci_upper,mrr_ci_lower,mrr_ci_upper,ndcg_ci_lower,ndcg_ci_upper,category_guardrail_pass,all_category_guardrails_pass,clear_gain_vs_control,best_lighter_setting,clear_gain_vs_best_lighter,finalist_eligible
huydang-dek21-embedding-768,Huydang DEk21 768D,direct_fact,CODE4LIFEOFFICIAL/huydang-dek21-embedding,517f1af7dd04a57194f1de2990f0c6ede0a3109b,768,256,hue_foods_08a_huydang_dek21_768,dense,False,False,completed,,7,7,1.0,0.6785714285714286,0.7694232098333684,3,,,,,,,,,,,,,,cpu,float32,8,1,0.1428571428571429,-0.1071428571428571,-0.02352686769800949,,,,,,,True,,,,,
huydang-dek21-embedding-768,Huydang DEk21 768D,food_knowledge,CODE4LIFEOFFICIAL/huydang-dek21-embedding,517f1af7dd04a57194f1de2990f0c6ede0a3109b,768,256,hue_foods_08a_huydang_dek21_768,dense,False,False,completed,,7,6,0.8571428571428571,0.8571428571428571,0.8571428571428571,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,0.1428571428571428,0.10259275951734426,,,,,,,True,,,,,
huydang-dek21-embedding-768,Huydang DEk21 768D,guide_planning,CODE4LIFEOFFICIAL/huydang-dek21-embedding,517f1af7dd04a57194f1de2990f0c6ede0a3109b,768,256,hue_foods_08a_huydang_dek21_768,dense,False,False,completed,,2,2,1.0,0.41666666666666663,0.5654648767857288,3,,,,,,,,,,,,,,cpu,float32,8,1,0.5,-0.08333333333333337,0.06546487678572877,,,,,,,True,,,,,
huydang-dek21-embedding-768,Huydang DEk21 768D,holistic,CODE4LIFEOFFICIAL/huydang-dek21-embedding,517f1af7dd04a57194f1de2990f0c6ede0a3109b,768,256,hue_foods_08a_huydang_dek21_768,dense,False,False,completed,,3,3,1.0,0.6666666666666666,0.7606168944595301,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,0.11111111111111116,0.12070996474346751,,,,,,,True,,,,,
huydang-dek21-embedding-768,Huydang DEk21 768D,numerical,CODE4LIFEOFFICIAL/huydang-dek21-embedding,517f1af7dd04a57194f1de2990f0c6ede0a3109b,768,256,hue_foods_08a_huydang_dek21_768,dense,False,False,completed,,2,2,1.0,1.0,1.0,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,0.0,0.0,,,,,,,True,,,,,
huydang-dek21-embedding-768,Huydang DEk21 768D,relationship,CODE4LIFEOFFICIAL/huydang-dek21-embedding,517f1af7dd04a57194f1de2990f0c6ede0a3109b,768,256,hue_foods_08a_huydang_dek21_768,dense,False,False,completed,,14,14,1.0,0.869047619047619,0.8586955762164405,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,-0.023809523809523947,-0.040708966179473616,,,,,,,False,,,,,
huydang-dek21-embedding-768,Huydang DEk21 768D,spanning,CODE4LIFEOFFICIAL/huydang-dek21-embedding,517f1af7dd04a57194f1de2990f0c6ede0a3109b,768,256,hue_foods_08a_huydang_dek21_768,dense,False,False,completed,,3,1,0.05555555555555555,0.3333333333333333,0.11305340175787204,3,,,,,,,,,,,,,,cpu,float32,8,1,-0.22222222222222218,-0.4000000000000001,-0.2846438833857646,,,,,,,False,,,,,
huydang-dek21-embedding-768,Huydang DEk21 768D,temporal,CODE4LIFEOFFICIAL/huydang-dek21-embedding,517f1af7dd04a57194f1de2990f0c6ede0a3109b,768,256,hue_foods_08a_huydang_dek21_768,dense,False,False,completed,,1,1,1.0,0.5,0.6934264036172708,3,,,,,,,,,,,,,,cpu,float32,8,1,0.5,-0.5,0.08027921085181244,,,,,,,True,,,,,
e5-base-768,E5-base 768D,overall,intfloat/multilingual-e5-base,d128750597153bb5987e10b1c3493a34e5a4502a,768,512,hue_foods_08a_e5_base_768,dense,False,False,completed,,45,42,0.8407407407407408,0.6985185185185185,0.7060878464719689,3,True,0,7152.457829,47151.053678,50.930931,80.6321157,6.163603999999999,8.804295599999996,57.09135,88.43535239999999,1659.265625,1733.828125,2185.46875,cpu,float32,8,1,0.022222222222222216,-0.0762962962962963,-0.036449770851546236,-0.059259259259259255,0.10740740740740742,-0.1522222222222222,-0.008879629629629763,-0.10016241193052823,0.02190675949275952,,False,False,e5-small-384,False,True
e5-base-768,E5-base 768D,comparative,intfloat/multilingual-e5-base,d128750597153bb5987e10b1c3493a34e5a4502a,768,512,hue_foods_08a_e5_base_768,dense,False,False,completed,,6,5,0.5833333333333334,0.5555555555555556,0.492915754364977,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,-0.11111111111111105,-0.05109559939712155,,,,,,,False,,,,,
e5-base-768,E5-base 768D,direct_fact,intfloat/multilingual-e5-base,d128750597153bb5987e10b1c3493a34e5a4502a,768,512,hue_foods_08a_e5_base_768,dense,False,False,completed,,7,7,1.0,0.75,0.8132194378880441,3,,,,,,,,,,,,,,cpu,float32,8,1,0.1428571428571429,-0.0357142857142857,0.020269360356666155,,,,,,,True,,,,,
e5-base-768,E5-base 768D,food_knowledge,intfloat/multilingual-e5-base,d128750597153bb5987e10b1c3493a34e5a4502a,768,512,hue_foods_08a_e5_base_768,dense,False,False,completed,,7,7,1.0,0.7000000000000001,0.7606223081698184,3,,,,,,,,,,,,,,cpu,float32,8,1,0.1428571428571429,-0.014285714285714235,0.006072210544305512,,,,,,,True,,,,,
e5-base-768,E5-base 768D,guide_planning,intfloat/multilingual-e5-base,d128750597153bb5987e10b1c3493a34e5a4502a,768,512,hue_foods_08a_e5_base_768,dense,False,False,completed,,2,1,0.5,0.5,0.5,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,0.0,0.0,,,,,,,True,,,,,
e5-base-768,E5-base 768D,holistic,intfloat/multilingual-e5-base,d128750597153bb5987e10b1c3493a34e5a4502a,768,512,hue_foods_08a_e5_base_768,dense,False,False,completed,,3,3,1.0,0.4166666666666667,0.5850109050873739,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,-0.13888888888888878,-0.0548960246286887,,,,,,,True,,,,,
e5-base-768,E5-base 768D,numerical,intfloat/multilingual-e5-base,d128750597153bb5987e10b1c3493a34e5a4502a,768,512,hue_foods_08a_e5_base_768,dense,False,False,completed,,2,2,1.0,1.0,1.0,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,0.0,0.0,,,,,,,True,,,,,
e5-base-768,E5-base 768D,relationship,intfloat/multilingual-e5-base,d128750597153bb5987e10b1c3493a34e5a4502a,768,512,hue_foods_08a_e5_base_768,dense,False,False,completed,,14,13,0.9285714285714286,0.7857142857142857,0.8148481915587157,3,,,,,,,,,,,,,,cpu,float32,8,1,-0.0714285714285714,-0.1071428571428572,-0.08455635083719848,,,,,,,False,,,,,
e5-base-768,E5-base 768D,spanning,intfloat/multilingual-e5-base,d128750597153bb5987e10b1c3493a34e5a4502a,768,512,hue_foods_08a_e5_base_768,dense,False,False,completed,,3,3,0.27777777777777773,0.5666666666666667,0.34117058426470054,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,-0.16666666666666674,-0.056526700878936076,,,,,,,True,,,,,
e5-base-768,E5-base 768D,temporal,intfloat/multilingual-e5-base,d128750597153bb5987e10b1c3493a34e5a4502a,768,512,hue_foods_08a_e5_base_768,dense,False,False,completed,,1,1,0.5,1.0,0.6131471927654584,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,0.0,0.0,,,,,,,True,,,,,
